[15:59:39.170] Namespace(data='colon', save_dir='./implementation/colon/full', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_full.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='full')
[16:45:19.040] epoch: 0/200, iter: 259/3469: loss:0.7414: rank:-1
[16:45:34.087] epoch: 0/200, iter: 260/3469: loss:0.8069: rank:-1
[16:46:01.204] epoch: 0/200, iter: 261/3469: loss:0.8887: rank:-1
[16:46:28.261] epoch: 0/200, iter: 262/3469: loss:0.7699: rank:-1
[16:46:55.585] epoch: 0/200, iter: 263/3469: loss:0.7274: rank:-1
[16:46:58.680] epoch: 0/200, iter: 264/3469: loss:1.2192: rank:-1
[16:47:53.596] epoch: 0/200, iter: 265/3469: loss:1.2163: rank:-1
[16:47:56.714] epoch: 0/200, iter: 266/3469: loss:1.2995: rank:-1
[16:47:59.754] epoch: 0/200, iter: 267/3469: loss:0.8793: rank:-1
[16:48:02.816] epoch: 0/200, iter: 268/3469: loss:0.9105: rank:-1
[16:48:05.854] epoch: 0/200, iter: 269/3469: loss:0.7585: rank:-1
[16:48:08.842] epoch: 0/200, iter: 270/3469: loss:0.4398: rank:-1
[16:48:11.888] epoch: 0/200, iter: 271/3469: loss:1.147: rank:-1
[16:48:14.894] epoch: 0/200, iter: 272/3469: loss:1.5319: rank:-1
[16:48:17.933] epoch: 0/200, iter: 273/3469: loss:0.5116: rank:-1
[16:48:54.581] epoch: 0/200, iter: 274/3469: loss:1.0157: rank:-1
[16:49:06.703] epoch: 0/200, iter: 275/3469: loss:0.9971: rank:-1
